"United States","2818"
"South Africa","30"
"","831"
"India","972"
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","1"
"United Kingdom","419"
"Germany, Czech Republic","2"
"Mexico","110"
"Turkey","105"
"Australia","87"
"United States, India, France","1"
"Finland","1"
"China, Canada, United States","3"
"South Africa, United States, Japan","1"
"Nigeria","95"
"Japan","245"
"Spain, United States","1"
"France","124"
"Belgium","9"
"United Kingdom, United States","75"
"United States, United Kingdom","47"
"France, United States","10"
"South Korea","199"
"Spain","145"
"United States, Singapore","1"
"United Kingdom, Australia, France","1"
"United Kingdom, Australia, France, United States","1"
"United States, Canada","73"
"Germany, United States","13"
"South Africa, United States","4"
"United States, Mexico","14"
"United States, Italy, France, Japan","1"
"United States, Italy, Romania, United Kingdom","1"
"Australia, United States","13"
"Argentina, Venezuela","1"
"United States, United Kingdom, Canada","2"
"China, Hong Kong","14"
"Russia","15"
"Canada","181"
"Hong Kong","53"
"United States, China, Hong Kong","2"
"Italy, United States","4"
"United States, Germany","17"
"United Kingdom, Canada, United States","8"
", South Korea","1"
"Ireland","10"
"India, Nepal","1"
"New Zealand, Australia, France, United States","1"
"Italy","45"
"Italy, Brazil, Greece","1"
"Argentina","56"
"Jordan","2"
"Colombia","35"
"United States, Japan","16"
"Belgium, United Kingdom","1"
"Switzerland, United Kingdom, Australia","1"
"Israel, United States","5"
"Canada, United States","45"
"Brazil","77"
"Argentina, Spain","8"
"Taiwan","81"
"United States, Nigeria","2"
"Bulgaria, United States","3"
"Spain, United Kingdom, United States","1"
"United States, China","8"
"United States, France","16"
"Spain, France, United Kingdom, United States","1"
", France, Algeria","1"
"Poland","24"
"Germany","67"
"France, Israel, Germany, United States, United Kingdom","1"
"New Zealand","12"
"Saudi Arabia","8"
"Thailand","61"
"Indonesia","79"
"Egypt, Denmark, Germany","1"
"United States, Switzerland","1"
"Hong Kong, Canada, United States","1"
"Kuwait, United States","1"
"France, Canada, United States, Spain","1"
"France, Netherlands, Singapore","1"
"France, Belgium","27"
"Ireland, United States, United Kingdom","1"
"Egypt","106"
"Malaysia","22"
"Israel","13"
"Australia, New Zealand","1"
"United Kingdom, Germany","4"
"Belgium, Netherlands","2"
"South Korea, Czech Republic","1"
"Australia, Germany","1"
"Vietnam","7"
"United Kingdom, Belgium","2"
"United Kingdom, Australia, United States","1"
"France, Japan, United States","2"
"United Kingdom, Germany, Spain, United States","1"
"United Kingdom, United States, France, Italy","1"
"United States, Germany, Canada","3"
"United States, France, Italy, United Kingdom","1"
"United States, United Kingdom, Germany, Hungary","1"
"United States, New Zealand","5"
"Sweden","13"
"China","66"
"Lebanon","15"
"Romania","6"
"Finland, Germany","1"
"Lebanon, Syria","1"
"Philippines","75"
"Iceland","5"
"Denmark","13"
"United States, India","9"
"Philippines, Singapore, Indonesia","1"
"China, United States, Canada","1"
"Lebanon, United Arab Emirates","1"
"Canada, United States, Denmark","1"
"United Arab Emirates","14"
"Mexico, France, Colombia","1"
"Netherlands","19"
"Germany, United States, France","1"
"United States, Bulgaria","4"
"United Kingdom, France, Germany, United States","2"
"Norway, Denmark","1"
"Syria, France, Lebanon, Qatar","1"
"United States, Czech Republic","5"
"Mauritius","1"
"Canada, South Africa","2"
"Austria","5"
"Mexico, Brazil","1"
"Germany, France","1"
"Mexico, United States","13"
"United Kingdom, France, Spain, United States","1"
"United States, Australia","11"
"United States, United Kingdom, France","4"
"United States, Russia","4"
"United States, United Kingdom, New Zealand","1"
"Australia, United Kingdom","2"
"Canada, Nigeria, United States","1"
"France, United States, United Kingdom, Canada","1"
"France, United Kingdom","1"
"India, United Kingdom","2"
"Canada, United States, Mexico","1"
"United Kingdom, Germany, United States","2"
"Czech Republic, United Kingdom, United States","1"
"China, United Kingdom","3"
"Italy, United Kingdom","1"
"China, Taiwan","2"
"United States, Brazil, Japan, Spain, India","1"
"United States, China, United Kingdom","1"
"Cameroon","1"
"Lebanon, Palestine, Denmark, Qatar","1"
"Japan, United States","12"
